Sr,Date,URL,ID,User,Tweet,emotion_text2emotion
0,2021-12-30 04:44:41+00:00,https://twitter.com/Noordawar1/status/1476413912904044547,1.48E+18,Noordawar1,HEC funding must be linked with the faculty of the universities. If they don't hire PhD faulty as per requirement of each department/program. their funding must he halted by HEC. #savePhDs #Stop_PhDs_exploitation  #InvestigateAllUniversities  @ypdapak,Fear
1,2021-12-21 06:54:26+00:00,https://twitter.com/edma_utp/status/1473185074577387523,1.47E+18,edma_utp,"@ImranKhanPTI Please mark my words, the highly educated people of this country would never vote you again after your policies against education
New ipfp policy by this government is no more than a joke with PhDs of Pakistan
#savePhDs",Fear
2,2021-12-19 18:55:06+00:00,https://twitter.com/edma_utp/status/1472641658701369351,1.47E+18,edma_utp,"HEIs in Pakistan
Want to apply for job/promotion, you need to processing fee in govt institutions, but no processing fee in pvt sector.
Really a joke in Pakistan
#savePhDs
@ImranKhanPTI @hecpkofficial @PhdSindh",Happy
3,2021-12-16 12:58:01+00:00,https://twitter.com/PhDSindh/status/1471464632296611842,1.47E+18,PhDSindh,"On Sat 18/12/2021
#ReduceJobChallansToRs100
#savePhDs

Your presence &amp; contribution will be highly appreciated &amp; definitely put some matter to raise the voice jointly for this noble cause.

OnlyTogetherWeCan. It’s mutual matter not only belong to you or me but obviously with #us. https://t.co/bIld2L5KMe",Fear
4,2021-12-10 08:36:59+00:00,https://twitter.com/edma_utp/status/1469224612386979843,1.47E+18,edma_utp,"Pakistani HEIs Merit
They talk for merits in addresses but they dont hire people who has unique experience, eligibility for assoc prof position, but dont hire on asstt prof, to give chances to relatives or sifarshis
@ImranKhanPTI
@hecpkofficial
@1964atta
#savePhDs #academicgoons",Fear
5,2021-11-27 02:08:19+00:00,https://twitter.com/farooqAlashari/status/1464415760340635648,1.46E+18,farooqAlashari,Politicians and government functionaries must stop serving on university bodies. #SavePhDs https://t.co/QiUqXKIVXz,Surprise
6,2021-11-15 10:39:42+00:00,https://twitter.com/Saira_Bhatti07/status/1460195799623770114,1.46E+18,Saira_Bhatti07,"@betterpakistan Sir what policy you have made for those who have accomplished their academic dreams (PhD) by securing merit based scholarships.They have no future in Pakistan.
#SavePhDs",Sad
7,2021-11-12 10:33:58+00:00,https://twitter.com/OfPhds/status/1459107194163634216,1.46E+18,OfPhds,"If you are PhD and have a good job in Pakistan please like this tweet.  If you left Pakistan for job please retweet and if you are in Pakistan with no job or doing visiting please comment ""#SavePhDs"".",Fear
8,2021-10-30 11:24:31+00:00,https://twitter.com/Saira_Bhatti07/status/1454408871016075264,1.45E+18,Saira_Bhatti07,"The old chinese proverb "" a fish rots from the head’ best fit the prevailing situation in KPK universities.
#SavePhDs
https://t.co/XKhSBzEvVy",Fear
9,2021-10-24 09:57:20+00:00,https://twitter.com/PhDSindh/status/1452212605666406413,1.45E+18,PhDSindh,"What the shame is this, now private colleges have started processing fee, despite no any justification or legal background of this act. These mafias are openly looting and misusing unemployed youth while the law is nowhere to be found. #savePhDs https://t.co/EI84DdZJQG",Surprise
10,2021-10-24 02:09:50+00:00,https://twitter.com/farooqAlashari/status/1452094956424867849,1.45E+18,farooqAlashari,@Saira_Bhatti07 Meanwhile situation in HEI! #SavePhDs https://t.co/zn9ZoTYLjU,Fear
11,2021-10-23 16:12:34+00:00,https://twitter.com/Saira_Bhatti07/status/1451944648776241164,1.45E+18,Saira_Bhatti07,"The condition of HEC and Government on the issue of Jobless PhDs..
#SavePhDs https://t.co/dRHMnfL7sX",Surprise
12,2021-10-22 13:47:27+00:00,https://twitter.com/AnNajamUsSaqib/status/1451545739826503681,1.45E+18,AnNajamUsSaqib,"#Meems from #PhDeees
#SavePhDs https://t.co/ZrbdkOJdV8",Surprise
13,2021-10-18 09:32:51+00:00,https://twitter.com/naeem55000565/status/1450032116952141832,1.45E+18,naeem55000565,@PTIofficial Sir @ImranKhanPTI it is really good step to construct buildings but it will be more best when u give human resources like Phd faculty on regular basis to these buildings. We r PhDs looking for opportunities but these buildings r not accepting us. Plz think. #savePhDs,Fear
14,2021-10-17 13:06:27+00:00,https://twitter.com/mansurkhattak/status/1449723482166661121,1.45E+18,mansurkhattak,"@PhdSindh @OfPhds Collecting application fee in thousands and then asking for hard copies is beyond me. Can't they just print it themselves, what are they charging for?
#savePhDs",Happy
15,2021-10-16 07:38:32+00:00,https://twitter.com/PhDSindh/status/1449278570874953731,1.45E+18,PhDSindh,"GC University Hyderabad 
Processing Fee 4000Rs + print charges + documents sets + courier charges
Is it way of earning from unemployed youth !?
Many universities in sindh have also grabbed huge amount almost one year ago in form of processing fee but still no response.
#savePhDs https://t.co/cschRt6nEa",Happy
16,2021-10-13 06:06:22+00:00,https://twitter.com/Mehmood2Dr/status/1448168213771132930,1.45E+18,Mehmood2Dr,"Increase the unemployed PhD work force ,do something for already Foreign qualified Unemployeed PhDs.
#savephds
@hecpkofficial @PMOAJK @ImranKhanPTI https://t.co/yAwMlGtSVH",Fear
17,2021-10-10 10:54:23+00:00,https://twitter.com/MuhammadAbaid15/status/1447153531966853120,1.45E+18,MuhammadAbaid15,"Similarly every parliamentarian is silent over the issue of unemployment of PhDs. History 'll never forgive to the establishment. IA
#RespectPhds #SavePhds https://t.co/bPNANxQmo4 https://t.co/VqDVkDy4Ny",Fear
18,2021-10-08 15:34:41+00:00,https://twitter.com/ahmemon05/status/1446499297147691064,1.45E+18,ahmemon05,"@EngineerSafdar2 @salehkori Those who have done after wasting energetic &amp; growing time of life to achieve this PhD degree are facing worst curse of it in feudal &amp; capitalism following society. It's obvious that uneducated ruling class will never bear that class to come forward to prove themselves
#savePhDs",Fear
19,2021-10-08 14:55:30+00:00,https://twitter.com/ahmemon05/status/1446489434191503367,1.45E+18,ahmemon05,"#savePhDs
How helpless IPFP fellows are facing unpaid one month 8-10 hrs daily tiring training just for one year contract job to get less than 0.1 million salary after almost more than two years waiting for this process and still more to go, shows piteous &amp; severity of situation. https://t.co/FVkixiPdFF",Fear
20,2021-10-07 05:01:48+00:00,https://twitter.com/edma_utp/status/1445977637277605890,1.45E+18,edma_utp,"@hecpkofficial First try to absorb existing PhDs in HEIs 
#savephds",Surprise
